C D00 NAME_______ TYPE____ MinVAL_ MaxVAL_ UNITS__
C D01 Identifier  char           A       Z       _
C D02 Pressure    signed   +000.00 +160.00    PSIA
C D03 Temperature signed   -010.00 +050.00       C
C D04 Volumetric  signed    +00000  +01000     CCM
C D05 Mass        signed    +00000  +01000    SCCM
C D06 SetPoint    unsigned   00000   01000    SCCM
C D07 Gas         string       Air     P-5       _
C D08 Error       string         _     SPI       _
C D09 Error       string         _     EEP       _
C D10 Error       string         _     ADS       _
C D11 Error       string         _     DAC       _
C D12 Error       string         _     LCD       _
C D13 Error       string         _     INT       _
C D14 Error       string         _     ???       _
C D15 Status      string         _     LCK       _
C D16 Status      string         _     HLD       _
C D17 Status      string         _     Pov       _
C D18 Status      string         _     Tov       _
C D19 Status      string         _     Vov       _
C D20 Status      string         _     Mov       _
