D D00 NAME_______ TYPE____ MinVAL_ MaxVAL_ UNITS__
D D01 Identifier  char           A       Z       _
D D02 Pressure    signed   +000.00 +160.00    PSIA
D D03 Temperature signed   -010.00 +050.00       C
D D04 Volumetric  signed    +00000  +01000     CCM
D D05 Mass        signed    +00000  +01000    SCCM
D D06 SetPoint    unsigned   00000   01000    SCCM
D D07 Gas         string       Air     P-5       _
D D08 Error       string         _     SPI       _
D D09 Error       string         _     EEP       _
D D10 Error       string         _     ADS       _
D D11 Error       string         _     DAC       _
D D12 Error       string         _     LCD       _
D D13 Error       string         _     INT       _
D D14 Error       string         _     ???       _
D D15 Status      string         _     LCK       _
D D16 Status      string         _     HLD       _
D D17 Status      string         _     Pov       _
D D18 Status      string         _     Tov       _
D D19 Status      string         _     Vov       _
D D20 Status      string         _     Mov       _
